Park,ParkLatitude,ParkLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory
Discovery Park,47.66083,-122.415282,Ballard Annex Oyster House,47.66799625144551,-122.38512412817903,Seafood Restaurant
Discovery Park,47.66083,-122.415282,Stoneburner,47.66614289163664,-122.38282728208249,Italian Restaurant
Discovery Park,47.66083,-122.415282,The Matador,47.66861736792765,-122.38585704143311,Mexican Restaurant
Discovery Park,47.66083,-122.415282,Patxi's Pizza,47.66684604978441,-122.38392694115602,Pizza Place
Discovery Park,47.66083,-122.415282,El Borracho,47.6682381432103,-122.38424883229588,Mexican Restaurant
Discovery Park,47.66083,-122.415282,Blue Heron,47.65591034051268,-122.38673949049051,Sandwich Place
Discovery Park,47.66083,-122.415282,Lockspot Cafe,47.667805120125536,-122.39595182451959,Diner
Discovery Park,47.66083,-122.415282,Pho Big Bowl,47.66883172233308,-122.38691273800208,Vietnamese Restaurant
Discovery Park,47.66083,-122.415282,Firehouse Coffee,47.66878064399137,-122.39155747750974,Sandwich Place
Discovery Park,47.66083,-122.415282,Pico Café,47.67567412366766,-122.39838671984012,Bakery
Discovery Park,47.66083,-122.415282,Sam's Sushi Bar & Grill,47.668855064948495,-122.38472541208861,Sushi Restaurant
Discovery Park,47.66083,-122.415282,Taco Time,47.668419384058154,-122.39551316852987,Taco Place
Discovery Park,47.66083,-122.415282,Thai Thani,47.66845769951629,-122.38396932069512,Thai Restaurant
Discovery Park,47.66083,-122.415282,Salmon Bay Cafe,47.66412728577105,-122.38232899152626,American Restaurant
Discovery Park,47.66083,-122.415282,Rodeo Donuts pop up,47.668830003032845,-122.38437244206828,Donut Shop
Discovery Park,47.66083,-122.415282,Sexy Alley Puffy Tacos,47.66869721368067,-122.38712254001196,Taco Place
Discovery Park,47.66083,-122.415282,Katina's Kitchen,47.657936670961185,-122.38941022635228,Greek Restaurant
Discovery Park,47.66083,-122.415282,Azteca Restaurant,47.67249,-122.406865,Food
Discovery Park,47.66083,-122.415282,Carmelito's,47.674581975556315,-122.40614443391884,Snack Place
Discovery Park,47.66083,-122.415282,Samara,47.675943,-122.398254,American Restaurant
Discovery Park,47.66083,-122.415282,Mod Burger,47.67983499362479,-122.40584204119858,Food Truck
Discovery Park,47.66083,-122.415282,Tacos Jennyfer's,47.659803,-122.384937,Taco Place
Discovery Park,47.66083,-122.415282,Beach House At Shilshole,47.680229,-122.404606,Food
Discovery Park,47.66083,-122.415282,Amante Pizza & Pasta,47.65629130427894,-122.384422099972,Pizza Place
Discovery Park,47.66083,-122.415282,Helens Subs,47.658009,-122.383773,Sandwich Place
Jefferson Park,47.568067,-122.31144099999999,Bar Del Corso,47.57547036774706,-122.30943950727587,Pizza Place
Jefferson Park,47.568067,-122.31144099999999,Jack's BBQ,47.568289068927896,-122.32243291288155,BBQ Joint
Jefferson Park,47.568067,-122.31144099999999,Breezy Town Pizza,47.5590931063331,-122.30409107198365,Pizza Place
Jefferson Park,47.568067,-122.31144099999999,El Quetzal,47.57472195394037,-122.30931528938011,Mexican Restaurant
Jefferson Park,47.568067,-122.31144099999999,Fresh Flours Bakery & Cafe,47.578702643269054,-122.31142699145133,Café
Jefferson Park,47.568067,-122.31144099999999,Tacos Chukis,47.57954485710303,-122.31159131110192,Taco Place
Jefferson Park,47.568067,-122.31144099999999,Tacos El Asadero,47.571271168333446,-122.29304885683885,Food Truck
Jefferson Park,47.568067,-122.31144099999999,Despi Delite Bakery,47.57934704116261,-122.3136015814072,Bakery
Jefferson Park,47.568067,-122.31144099999999,Cafe Ibex,47.57421505476378,-122.29735658058084,Ethiopian Restaurant
Jefferson Park,47.568067,-122.31144099999999,Cafetal Quilombo,47.56398815930329,-122.31354587427816,Café
Jefferson Park,47.568067,-122.31144099999999,Bananas Grill,47.56204966998624,-122.29388100370605,Mediterranean Restaurant
Jefferson Park,47.568067,-122.31144099999999,Little Chengdu 小成都,47.57488504696691,-122.29575610101153,Szechuan Restaurant
Jefferson Park,47.568067,-122.31144099999999,Thai Recipe,47.57805549015412,-122.29877766632842,Thai Restaurant
Jefferson Park,47.568067,-122.31144099999999,Pho Bac,47.57394781638015,-122.29453434697409,Asian Restaurant
Jefferson Park,47.568067,-122.31144099999999,Baja Bistro,47.58155456555108,-122.31425554156392,Mexican Restaurant
Jefferson Park,47.568067,-122.31144099999999,Bean Fish,47.56988490452611,-122.324680852843,Food Truck
Jefferson Park,47.568067,-122.31144099999999,Costco Food Court,47.56507848140407,-122.33044296066898,Food Court
Jefferson Park,47.568067,-122.31144099999999,Borracchini's Bakery,47.58299834027928,-122.30185515071778,Bakery
Jefferson Park,47.568067,-122.31144099999999,Ezell's Famous Chicken,47.563093007504875,-122.2876303509063,Fried Chicken Joint
Jefferson Park,47.568067,-122.31144099999999,Geraldine's Counter,47.557933909603804,-122.28494587146723,Diner
Jefferson Park,47.568067,-122.31144099999999,Emerald City Fish and Chips,47.5699686582368,-122.2907620002172,Fish & Chips Shop
Jefferson Park,47.568067,-122.31144099999999,Flying Squirrel Pizza,47.551227063270005,-122.31895458986445,Pizza Place
Jefferson Park,47.568067,-122.31144099999999,Via Tribunali - Georgetown,47.54891500790278,-122.31735661563168,Pizza Place
Jefferson Park,47.568067,-122.31144099999999,La Medusa,47.55848590327292,-122.28546572409248,Italian Restaurant
Jefferson Park,47.568067,-122.31144099999999,Fonda La Catrina,47.549943270591754,-122.31773568590077,Mexican Restaurant
Jefferson Park,47.568067,-122.31144099999999,Derby,47.582717781472454,-122.3266191292916,American Restaurant
Jefferson Park,47.568067,-122.31144099999999,Columbia City Bakery,47.558261301030136,-122.28535667425732,Bakery
Jefferson Park,47.568067,-122.31144099999999,Mioposto - Mt. Baker,47.57830228401119,-122.28840508461155,Pizza Place
Jefferson Park,47.568067,-122.31144099999999,Cafe Con Leche,47.57760076510251,-122.33440130473232,Cuban Restaurant
Jefferson Park,47.568067,-122.31144099999999,Island Soul Caribbean Bar and Cuisine,47.55813901839223,-122.28529369550688,Caribbean Restaurant
Jefferson Park,47.568067,-122.31144099999999,Tutta Bella Neapolitan Pizzeria,47.557151903347275,-122.28460972897362,Pizza Place
Jefferson Park,47.568067,-122.31144099999999,Billiard Hoang,47.557272195929045,-122.29048003196088,Vietnamese Restaurant
Jefferson Park,47.568067,-122.31144099999999,Ciudad,47.548241906885714,-122.31706395376094,Mediterranean Restaurant
Jefferson Park,47.568067,-122.31144099999999,The Corson Building,47.5519727456564,-122.32028493460314,Restaurant
